"dates_formatted"
2021-03-17
2021-01-27
2020-12-16
2020-11-05
2020-09-16
2020-07-29
2020-06-10
2020-04-29
2020-03-15
2020-03-03
2020-01-29
2019-12-11
2019-10-30
2019-09-18
2019-07-31
2019-06-19
2019-05-01
2019-03-20
2019-01-30
2018-12-19
2018-11-08
2018-09-26
2018-08-01
2018-06-13
2018-05-02
2018-03-21
2018-01-31
2017-12-13
2017-11-01
2017-09-20
2017-07-26
2017-06-14
2017-05-03
2017-03-15
2017-02-01
2016-12-14
2016-11-02
2016-09-21
2016-07-27
2016-06-15
2016-04-27
2016-03-16
2016-01-27
2015-12-16
2015-10-28
2015-09-17
2015-07-29
2015-06-17
2015-04-29
2015-03-18
2015-01-28
2014-12-17
2014-10-29
2014-09-17
2014-07-30
2014-06-18
2014-04-30
2014-03-19
2014-01-29
2013-12-18
2013-10-30
2013-09-18
2013-07-31
2013-06-19
2013-05-01
2013-03-20
2013-01-30
2012-12-12
2012-10-24
2012-09-13
2012-08-01
2012-06-20
2012-04-25
2012-03-13
2012-01-25
2011-12-13
2011-11-02
2011-09-21
2011-08-09
2011-06-22
2011-04-27
2011-03-15
2011-01-26
2010-12-14
2010-11-03
2010-09-21
2010-08-10
2010-06-23
2010-04-28
2010-03-16
2010-01-27
2009-12-16
2009-11-04
2009-09-23
2009-08-12
2009-06-24
2009-04-29
2009-03-18
2009-01-28
2008-12-16
2008-10-29
2008-10-08
2008-09-16
2008-08-05
2008-06-25
2008-04-30
2008-03-18
2008-01-30
2008-01-22
2007-12-11
2007-10-31
2007-09-18
2007-08-07
2007-06-28
2007-05-09
2007-03-21
2007-01-31
